Код условия поставки,Наименование,Название географического пункта
EXW,ФРАНКО-ЗАВОД,Местонахождение завода
FCA,ФРАНКО-ПЕРЕВОЗЧИК,Указанное место
FAS,СВОБОДНО ВДОЛЬ БОРТА СУДНА,Указанный порт погрузки
FOB,СВОБОДНО НА БОРТУ СУДНА,Указанный порт погрузки
CFR,СТОИМОСТЬ И ФРАХТ,Указанный порт назначения
CIF,"СТОИМОСТЬ, СТРАХОВАНИЕ И ФРАХТ",Указанный порт назначения
CPT,ПЕРЕВОЗКА ОПЛАЧЕНА ДО,Указанное место назначения
CIP,ПЕРЕВОЗКА И СТРАХОВАНИЕ ОПЛАЧЕНЫ ДО,Указанное место назначения
DAF,ФРАНКО-ГРАНИЦА,Указанное место
DES,ПОСТАВКА С СУДНА,Указанный порт назначения
DEQ,ПОСТАВКА С ПРИСТАНИ,Указанный порт назначения
DDU,ПОСТАВКА БЕЗ ОПЛАТЫ ПОШЛИНЫ,Указанное место назначения
DDP,ПОСТАВКА С ОПЛАТОЙ ПОШЛИНЫ,Указанное место назначения
XXX,ИНОЕ НАИМЕНОВАНИЕ УСЛОВИЯ ПОСТАВКИ,"Описание условий поставки, приведенное в контракте"
DAT,ПОСТАВКА НА ТЕРМИНАЛЕ,Указанный терминал
DAP,ПОСТАВКА В ПУНКТЕ,Указанный пункт
DPU,ДОСТАВКА ДО МЕСТА РАЗГРУЗКИ,Указанное место разгрузки
